"Estimated.HIV.Prevalence.....Ages.15.49.","year","Percentage 15-45"
"4105","Slovak Republic","X1994",0.06
"4106","Slovenia","X1994",0.06
"4108","Somalia","X1994",0.1
"4110","South Africa","X1994",4.3
"4112","Spain","X1994",0.5
"4113","Sri Lanka","X1994",0.06
"4114","Sudan","X1994",0.1
"4115","Suriname","X1994",0.6
"4117","Swaziland","X1994",8.1
"4118","Sweden","X1994",0.1
"4119","Switzerland","X1994",0.3
"4122","Tajikistan","X1994",0.06
"4123","Tanzania","X1994",7.6
"4124","Thailand","X1994",2.1
"4126","Togo","X1994",2
"4130","Trinidad and Tobago","X1994",0.6
"4131","Tunisia","X1994",0.06
"4132","Turkey","X1994",0.06
"4136","Uganda","X1994",9.8
"4137","Ukraine","X1994",0.3
"4139","United Kingdom","X1994",0.1
"4140","United States","X1994",0.5
"4141","Uruguay","X1994",0.1
"4143","Uzbekistan","X1994",0.06
"4150","Vietnam","X1994",0.1
"4156","Zambia","X1994",14.9
"4157","Zimbabwe","X1994",23.3
"4160","Cote dIvoire","X1994",6.4
"4165","Algeria","X1995",0.06
"4168","Angola","X1995",1.6
"4171","Argentina","X1995",0.3
"4172","Armenia","X1995",0.06
"4174","Australia","X1995",0.1
"4175","Austria","X1995",0.06
"4176","Azerbaijan","X1995",0.06
"4177","Bahamas","X1995",3.7
"4179","Bangladesh","X1995",0.06
"4180","Barbados","X1995",0.1
"4181","Belarus","X1995",0.06
"4182","Belgium","X1995",0.1
"4183","Belize","X1995",1.5
"4184","Benin","X1995",1.1
"4186","Bhutan","X1995",0.06
"4187","Bolivia","X1995",0.2
"4189","Botswana","X1995",16.6
"4190","Brazil","X1995",0.4
"4193","Bulgaria","X1995",0.06
"4194","Burkina Faso","X1995",3.4
"4195","Burundi","X1995",5.9
"4196","Cambodia","X1995",1.4
"4197","Cameroon","X1995",4.2
"4198","Canada","X1995",0.2
"4201","Central African Republic","X1995",9.7
"4202","Chad","X1995",2.1
"4204","Chile","X1995",0.1
"4208","Colombia","X1995",0.6
"4209","Comoros","X1995",0.06
"4211","Congo, Rep.","X1995",4.4
"4213","Costa Rica","X1995",0.06
"4214","Croatia","X1995",0.06
"4215","Cuba","X1995",0.06
"4217","Czech Republic","X1995",0.06
"4219","Denmark","X1995",0.1
"4220","Djibouti","X1995",2.3
"4222","Dominican Republic","X1995",0.9
"4224","Ecuador","X1995",0.5
"4225","Egypt","X1995",0.06
"4226","El Salvador","X1995",0.4
"4227","Equatorial Guinea","X1995",0.4
"4228","Eritrea","X1995",1.1
"4230","Estonia","X1995",0.1
"4234","Fiji","X1995",0.06
"4235","Finland","X1995",0.06
"4236","France","X1995",0.3
"4239","Gabon","X1995",3.1
"4240","Gambia","X1995",0.2
"4241","Georgia","X1995",0.06
"4242","Germany","X1995",0.1
"4243","Ghana","X1995",1.7
"4245","Greece","X1995",0.1
"4250","Guatemala","X1995",0.2
"4252","Guinea","X1995",1.8
"4253","Guinea-Bissau","X1995",0.9
"4254","Guyana","X1995",2.2
"4255","Haiti","X1995",3.6
"4257","Honduras","X1995",1.5
"4259","Hungary","X1995",0.1
"4260","Iceland","X1995",0.1
"4261","India","X1995",0.3
"4262","Indonesia","X1995",0.06
"4263","Iran","X1995",0.06
"4265","Ireland","X1995",0.1
"4267","Israel","X1995",0.1
"4268","Italy","X1995",0.3
"4269","Jamaica","X1995",2.2
"4270","Japan","X1995",0.06
"4273","Kazakhstan","X1995",0.06
"4274","Kenya","X1995",10.3
"4277","South Korea","X1995",0.06
"4281","Kyrgyz Republic","X1995",0.06
"4282","Lao","X1995",0.06
"4283","Latvia","X1995",0.1
"4284","Lebanon","X1995",0.1
"4285","Lesotho","X1995",14.3
"4286","Liberia","X1995",3.1
"4289","Lithuania","X1995",0.06
"4290","Luxembourg","X1995",0.2
"4293","Madagascar","X1995",0.2
"4294","Malawi","X1995",13.9
"4295","Malaysia","X1995",0.3
"4296","Maldives","X1995",0.06
"4297","Mali","X1995",1.8
"4298","Malta","X1995",0.1
"4301","Mauritania","X1995",0.4
"4302","Mauritius","X1995",0.1
"4304","Mexico","X1995",0.3
"4306","Moldova","X1995",0.1
"4308","Mongolia","X1995",0.06
"4311","Morocco","X1995",0.06
"4312","Mozambique","X1995",4.1
"4313","Myanmar","X1995",0.6
"4314","Namibia","X1995",7.1
"4316","Nepal","X1995",0.4
"4317","Netherlands","X1995",0.2
"4320","New Zealand","X1995",0.06
"4322","Nicaragua","X1995",0.1
"4323","Niger","X1995",0.6
"4324","Nigeria","X1995",4
"4329","Norway","X1995",0.1
"4330","Oman","X1995",0.06
"4331","Pakistan","X1995",0.06
"4333","Panama","X1995",1.6
"4334","Papua New Guinea","X1995",0.1
"4335","Paraguay","X1995",0.2
"4336","Peru","X1995",0.5
"4337","Philippines","X1995",0.06
"4339","Poland","X1995",0.1
"4340","Portugal","X1995",0.3
"4342","Qatar","X1995",0.06
"4344","Romania","X1995",0.1
"4345","Russia","X1995",0.06
"4346","Rwanda","X1995",4.7
"4358","Senegal","X1995",0.4
"4359","Serbia","X1995",0.1
"4363","Sierra Leone","X1995",0.2
"4364","Singapore","X1995",0.1
"4365","Slovak Republic","X1995",0.06
"4366","Slovenia","X1995",0.06
"4368","Somalia","X1995",0.1
"4370","South Africa","X1995",6.1
"4372","Spain","X1995",0.5
"4373","Sri Lanka","X1995",0.06
"4374","Sudan","X1995",0.2
"4375","Suriname","X1995",0.7
"4377","Swaziland","X1995",10.6
"4378","Sweden","X1995",0.1
"4379","Switzerland","X1995",0.3
"4382","Tajikistan","X1995",0.1
"4383","Tanzania","X1995",7.8
"4384","Thailand","X1995",2.1
"4386","Togo","X1995",2.5
"4390","Trinidad and Tobago","X1995",0.8
"4391","Tunisia","X1995",0.06
"4392","Turkey","X1995",0.06
"4396","Uganda","X1995",9.3
"4397","Ukraine","X1995",0.3
"4399","United Kingdom","X1995",0.1
"4400","United States","X1995",0.5
"4401","Uruguay","X1995",0.2
"4403","Uzbekistan","X1995",0.06
"4410","Vietnam","X1995",0.1
"4416","Zambia","X1995",15
"4417","Zimbabwe","X1995",25.1
"4420","Cote dIvoire","X1995",7.1
"4425","Algeria","X1996",0.06
"4428","Angola","X1996",1.7
"4431","Argentina","X1996",0.3
"4432","Armenia","X1996",0.06
"4434","Australia","X1996",0.1
"4435","Austria","X1996",0.06
"4436","Azerbaijan","X1996",0.06
"4437","Bahamas","X1996",3.6
"4439","Bangladesh","X1996",0.06
"4440","Barbados","X1996",0.2
"4441","Belarus","X1996",0.06
"4442","Belgium","X1996",0.2
"4443","Belize","X1996",1.6
"4444","Benin","X1996",1.3
"4446","Bhutan","X1996",0.06
"4447","Bolivia","X1996",0.2
"4449","Botswana","X1996",19.7
"4450","Brazil","X1996",0.4
"4453","Bulgaria","X1996",0.06
"4454","Burkina Faso","X1996",3.2
"4455","Burundi","X1996",5.9
"4456","Cambodia","X1996",1.4
"4457","Cameroon","X1996",4.8
"4458","Canada","X1996",0.2
"4461","Central African Republic","X1996",10.1
"4462","Chad","X1996",2.3
"4464","Chile","X1996",0.1
"4468","Colombia","X1996",0.7
"4469","Comoros","X1996",0.06
"4471","Congo, Rep.","X1996",4.3
"4473","Costa Rica","X1996",0.06
"4474","Croatia","X1996",0.06
"4475","Cuba","X1996",0.06
"4477","Czech Republic","X1996",0.06
"4479","Denmark","X1996",0.1
"4480","Djibouti","X1996",2.5
"4482","Dominican Republic","X1996",0.9
"4484","Ecuador","X1996",0.5
"4485","Egypt","X1996",0.06
"4486","El Salvador","X1996",0.4
"4487","Equatorial Guinea","X1996",0.6
"4488","Eritrea","X1996",1.1
"4490","Estonia","X1996",0.1
"4494","Fiji","X1996",0.06
"4495","Finland","X1996",0.06
"4496","France","X1996",0.3
"4499","Gabon","X1996",3.7
"4500","Gambia","X1996",0.3
"4501","Georgia","X1996",0.06
"4502","Germany","X1996",0.1
"4503","Ghana","X1996",2
"4505","Greece","X1996",0.1
"4510","Guatemala","X1996",0.3
"4512","Guinea","X1996",1.8
"4513","Guinea-Bissau","X1996",1
"4514","Guyana","X1996",2.1
"4515","Haiti","X1996",3.4
"4517","Honduras","X1996",1.5
"4519","Hungary","X1996",0.1
"4520","Iceland","X1996",0.1
"4521","India","X1996",0.3
"4522","Indonesia","X1996",0.06
"4523","Iran","X1996",0.06
"4525","Ireland","X1996",0.1
"4527","Israel","X1996",0.1
"4528","Italy","X1996",0.3
"4529","Jamaica","X1996",2.1
"4530","Japan","X1996",0.06
"4533","Kazakhstan","X1996",0.06
"4534","Kenya","X1996",10.5
"4537","South Korea","X1996",0.06
"4541","Kyrgyz Republic","X1996",0.06
"4542","Lao","X1996",0.06
"4543","Latvia","X1996",0.1
"4544","Lebanon","X1996",0.1
"4545","Lesotho","X1996",18.5
"4546","Liberia","X1996",3.4
"4549","Lithuania","X1996",0.06
"4550","Luxembourg","X1996",0.2
"4553","Madagascar","X1996",0.2
"4554","Malawi","X1996",14.5
"4555","Malaysia","X1996",0.3
"4556","Maldives","X1996",0.06
"4557","Mali","X1996",1.9
"4558","Malta","X1996",0.1
"4561","Mauritania","X1996",0.4
"4562","Mauritius","X1996",0.1
"4564","Mexico","X1996",0.3
"4566","Moldova","X1996",0.2
"4568","Mongolia","X1996",0.06
"4571","Morocco","X1996",0.1
"4572","Mozambique","X1996",4.9
"4573","Myanmar","X1996",0.6
"4574","Namibia","X1996",8.9
"4576","Nepal","X1996",0.4
"4577","Netherlands","X1996",0.2
"4580","New Zealand","X1996",0.1
"4582","Nicaragua","X1996",0.1
"4583","Niger","X1996",0.7
"4584","Nigeria","X1996",4
"4589","Norway","X1996",0.1
"4590","Oman","X1996",0.06
"4591","Pakistan","X1996",0.06
"4593","Panama","X1996",1.6
"4594","Papua New Guinea","X1996",0.1
"4595","Paraguay","X1996",0.2
"4596","Peru","X1996",0.5
"4597","Philippines","X1996",0.06
"4599","Poland","X1996",0.1
"4600","Portugal","X1996",0.3
"4602","Qatar","X1996",0.06
"4604","Romania","X1996",0.1
"4605","Russia","X1996",0.06
"4606","Rwanda","X1996",4.5
"4618","Senegal","X1996",0.4
"4619","Serbia","X1996",0.06
"4623","Sierra Leone","X1996",0.3
"4624","Singapore","X1996",0.1
"4625","Slovak Republic","X1996",0.06
"4626","Slovenia","X1996",0.06
"4628","Somalia","X1996",0.1
"4630","South Africa","X1996",8.4
"4632","Spain","X1996",0.4
"4633","Sri Lanka","X1996",0.06
"4634","Sudan","X1996",0.2
"4635","Suriname","X1996",0.9
"4637","Swaziland","X1996",13.3
"4638","Sweden","X1996",0.1
"4639","Switzerland","X1996",0.3
"4642","Tajikistan","X1996",0.1
"4643","Tanzania","X1996",7.9
"4644","Thailand","X1996",2.1
"4646","Togo","X1996",2.9
"4650","Trinidad and Tobago","X1996",0.9
"4651","Tunisia","X1996",0.06
"4652","Turkey","X1996",0.06
"4656","Uganda","X1996",8.8
"4657","Ukraine","X1996",0.4
"4659","United Kingdom","X1996",0.1
"4660","United States","X1996",0.5
"4661","Uruguay","X1996",0.2
"4663","Uzbekistan","X1996",0.06
"4670","Vietnam","X1996",0.1
"4676","Zambia","X1996",14.9
"4677","Zimbabwe","X1996",26.2
"4680","Cote dIvoire","X1996",7.4
"4685","Algeria","X1997",0.06
"4688","Angola","X1997",1.8
"4691","Argentina","X1997",0.3
"4692","Armenia","X1997",0.06
"4694","Australia","X1997",0.1
"4695","Austria","X1997",0.1
"4696","Azerbaijan","X1997",0.06
"4697","Bahamas","X1997",3.5
"4699","Bangladesh","X1997",0.06
"4700","Barbados","X1997",0.2
"4701","Belarus","X1997",0.06
"4702","Belgium","X1997",0.2
"4703","Belize","X1997",1.8
"4704","Benin","X1997",1.4
"4706","Bhutan","X1997",0.06
"4707","Bolivia","X1997",0.2
"4709","Botswana","X1997",22.2
"4710","Brazil","X1997",0.4
"4713","Bulgaria","X1997",0.06
"4714","Burkina Faso","X1997",2.9
"4715","Burundi","X1997",5.8
"4716","Cambodia","X1997",1.4
"4717","Cameroon","X1997",5.1
"4718","Canada","X1997",0.2
"4721","Central African Republic","X1997",10.1
"4722","Chad","X1997",2.5
"4724","Chile","X1997",0.1
"4728","Colombia","X1997",0.8
"4729","Comoros","X1997",0.06
"4731","Congo, Rep.","X1997",4.1
"4733","Costa Rica","X1997",0.1
"4734","Croatia","X1997",0.06
"4735","Cuba","X1997",0.06
"4737","Czech Republic","X1997",0.06
"4739","Denmark","X1997",0.1
"4740","Djibouti","X1997",2.7
"4742","Dominican Republic","X1997",1
"4744","Ecuador","X1997",0.5
"4745","Egypt","X1997",0.06
"4746","El Salvador","X1997",0.5
"4747","Equatorial Guinea","X1997",0.7
"4748","Eritrea","X1997",1.2
"4750","Estonia","X1997",0.2
"4754","Fiji","X1997",0.06
"4755","Finland","X1997",0.06
"4756","France","X1997",0.3
"4759","Gabon","X1997",4.2
"4760","Gambia","X1997",0.3
"4761","Georgia","X1997",0.06
"4762","Germany","X1997",0.1
"4763","Ghana","X1997",2.2
"4765","Greece","X1997",0.1
"4770","Guatemala","X1997",0.3
"4772","Guinea","X1997",1.8
"4773","Guinea-Bissau","X1997",1.2
"4774","Guyana","X1997",1.9
"4775","Haiti","X1997",3.3
"4777","Honduras","X1997",1.4
"4779","Hungary","X1997",0.1
"4780","Iceland","X1997",0.1
"4781","India","X1997",0.3
"4782","Indonesia","X1997",0.06
"4783","Iran","X1997",0.1
"4785","Ireland","X1997",0.1
"4787","Israel","X1997",0.1
"4788","Italy","X1997",0.3
"4789","Jamaica","X1997",2.1
"4790","Japan","X1997",0.06
"4793","Kazakhstan","X1997",0.06
"4794","Kenya","X1997",10.5
"4797","South Korea","X1997",0.06
"4801","Kyrgyz Republic","X1997",0.06
"4802","Lao","X1997",0.06
"4803","Latvia","X1997",0.2
"4804","Lebanon","X1997",0.1
"4805","Lesotho","X1997",21.6
"4806","Liberia","X1997",3.6
"4809","Lithuania","X1997",0.06
"4810","Luxembourg","X1997",0.2
"4813","Madagascar","X1997",0.2
"4814","Malawi","X1997",14.7
"4815","Malaysia","X1997",0.4
"4816","Maldives","X1997",0.06
"4817","Mali","X1997",1.9
"4818","Malta","X1997",0.1
"4821","Mauritania","X1997",0.5
"4822","Mauritius","X1997",0.2
"4824","Mexico","X1997",0.3
"4826","Moldova","X1997",0.3
"4828","Mongolia","X1997",0.06
"4831","Morocco","X1997",0.1
"4832","Mozambique","X1997",5.8
"4833","Myanmar","X1997",0.7
"4834","Namibia","X1997",10.7
"4836","Nepal","X1997",0.4
"4837","Netherlands","X1997",0.2
"4840","New Zealand","X1997",0.1
"4842","Nicaragua","X1997",0.1
"4843","Niger","X1997",0.9
"4844","Nigeria","X1997",4
"4849","Norway","X1997",0.1
"4850","Oman","X1997",0.06
"4851","Pakistan","X1997",0.06
"4853","Panama","X1997",1.6
"4854","Papua New Guinea","X1997",0.2
"4855","Paraguay","X1997",0.2
"4856","Peru","X1997",0.5
"4857","Philippines","X1997",0.06
"4859","Poland","X1997",0.1
"4860","Portugal","X1997",0.4
"4862","Qatar","X1997",0.06
"4864","Romania","X1997",0.1
"4865","Russia","X1997",0.06
"4866","Rwanda","X1997",4.3
"4878","Senegal","X1997",0.5
"4879","Serbia","X1997",0.06
"4883","Sierra Leone","X1997",0.4
"4884","Singapore","X1997",0.1
"4885","Slovak Republic","X1997",0.06
"4886","Slovenia","X1997",0.06
"4888","Somalia","X1997",0.2
"4890","South Africa","X1997",10.7
"4892","Spain","X1997",0.4
"4893","Sri Lanka","X1997",0.06
"4894","Sudan","X1997",0.2
"4895","Suriname","X1997",0.9
"4897","Swaziland","X1997",16
"4898","Sweden","X1997",0.1
"4899","Switzerland","X1997",0.3
"4902","Tajikistan","X1997",0.1
"4903","Tanzania","X1997",7.9
"4904","Thailand","X1997",2
"4906","Togo","X1997",3.1
"4910","Trinidad and Tobago","X1997",1
"4911","Tunisia","X1997",0.06
"4912","Turkey","X1997",0.06
"4916","Uganda","X1997",8.4
"4917","Ukraine","X1997",0.5
"4919","United Kingdom","X1997",0.1
"4920","United States","X1997",0.5
"4921","Uruguay","X1997",0.2
"4923","Uzbekistan","X1997",0.06
"4930","Vietnam","X1997",0.1
"4936","Zambia","X1997",14.8
"4937","Zimbabwe","X1997",26.5
"4940","Cote dIvoire","X1997",7.5
"4945","Algeria","X1998",0.06
"4948","Angola","X1998",1.8
"4951","Argentina","X1998",0.3
"4952","Armenia","X1998",0.1
"4954","Australia","X1998",0.1
"4955","Austria","X1998",0.1
"4956","Azerbaijan","X1998",0.06
"4957","Bahamas","X1998",3.3
"4959","Bangladesh","X1998",0.06
"4960","Barbados","X1998",0.3
"4961","Belarus","X1998",0.06
"4962","Belgium","X1998",0.2
"4963","Belize","X1998",1.9
"4964","Benin","X1998",1.4
"4966","Bhutan","X1998",0.06
"4967","Bolivia","X1998",0.2
"4969","Botswana","X1998",24.1
"4970","Brazil","X1998",0.4
"4973","Bulgaria","X1998",0.06
"4974","Burkina Faso","X1998",2.7
"4975","Burundi","X1998",5.7
"4976","Cambodia","X1998",1.4
"4977","Cameroon","X1998",5.3
"4978","Canada","X1998",0.2
"4981","Central African Republic","X1998",10
"4982","Chad","X1998",2.7
"4984","Chile","X1998",0.2
"4988","Colombia","X1998",0.8
"4989","Comoros","X1998",0.06
"4991","Congo, Rep.","X1998",4
"4993","Costa Rica","X1998",0.1
"4994","Croatia","X1998",0.06
"4995","Cuba","X1998",0.06
"4997","Czech Republic","X1998",0.06
"4999","Denmark","X1998",0.1
"5000","Djibouti","X1998",2.8
"5002","Dominican Republic","X1998",1
"5004","Ecuador","X1998",0.5
"5005","Egypt","X1998",0.06
"5006","El Salvador","X1998",0.6
"5007","Equatorial Guinea","X1998",0.9
"5008","Eritrea","X1998",1.2
"5010","Estonia","X1998",0.3
"5014","Fiji","X1998",0.06
"5015","Finland","X1998",0.06
"5016","France","X1998",0.3
"5019","Gabon","X1998",4.6
"5020","Gambia","X1998",0.4
"5021","Georgia","X1998",0.06
"5022","Germany","X1998",0.1
"5023","Ghana","X1998",2.3
"5025","Greece","X1998",0.1
"5030","Guatemala","X1998",0.4
"5032","Guinea","X1998",1.8
"5033","Guinea-Bissau","X1998",1.4
"5034","Guyana","X1998",1.8
"5035","Haiti","X1998",3.1
"5037","Honduras","X1998",1.4
"5039","Hungary","X1998",0.06
"5040","Iceland","X1998",0.2
"5041","India","X1998",0.4
"5042","Indonesia","X1998",0.06
"5043","Iran","X1998",0.1
"5045","Ireland","X1998",0.2
"5047","Israel","X1998",0.1
"5048","Italy","X1998",0.3
"5049","Jamaica","X1998",2
"5050","Japan","X1998",0.06
"5053","Kazakhstan","X1998",0.06
"5054","Kenya","X1998",10.1
"5057","South Korea","X1998",0.06
"5061","Kyrgyz Republic","X1998",0.06
"5062","Lao","X1998",0.06
"5063","Latvia","X1998",0.2
"5064","Lebanon","X1998",0.1
"5065","Lesotho","X1998",23.4
"5066","Liberia","X1998",3.5
"5069","Lithuania","X1998",0.06
"5070","Luxembourg","X1998",0.2
"5073","Madagascar","X1998",0.2
"5074","Malawi","X1998",14.7
"5075","Malaysia","X1998",0.4
"5076","Maldives","X1998",0.06
"5077","Mali","X1998",1.8
"5078","Malta","X1998",0.1
"5081","Mauritania","X1998",0.5
"5082","Mauritius","X1998",0.2
"5084","Mexico","X1998",0.3
"5086","Moldova","X1998",0.3
"5088","Mongolia","X1998",0.06
"5091","Morocco","X1998",0.1
"5092","Mozambique","X1998",6.7
"5093","Myanmar","X1998",0.7
"5094","Namibia","X1998",12.5
"5096","Nepal","X1998",0.5
"5097","Netherlands","X1998",0.2
"5100","New Zealand","X1998",0.1
"5102","Nicaragua","X1998",0.1
"5103","Niger","X1998",0.9
"5104","Nigeria","X1998",4
"5109","Norway","X1998",0.1
"5110","Oman","X1998",0.06
"5111","Pakistan","X1998",0.06
"5113","Panama","X1998",1.6
"5114","Papua New Guinea","X1998",0.2
"5115","Paraguay","X1998",0.3
"5116","Peru","X1998",0.5
"5117","Philippines","X1998",0.06
"5119","Poland","X1998",0.1
"5120","Portugal","X1998",0.4
"5122","Qatar","X1998",0.06
"5124","Romania","X1998",0.1
"5125","Russia","X1998",0.1
"5126","Rwanda","X1998",4.2
"5138","Senegal","X1998",0.5
"5139","Serbia","X1998",0.06
"5143","Sierra Leone","X1998",0.6
"5144","Singapore","X1998",0.1
"5145","Slovak Republic","X1998",0.06
"5146","Slovenia","X1998",0.06
"5148","Somalia","X1998",0.2
"5150","South Africa","X1998",12.9
"5152","Spain","X1998",0.4
"5153","Sri Lanka","X1998",0.06
"5154","Sudan","X1998",0.3
"5155","Suriname","X1998",1
"5157","Swaziland","X1998",18.5
"5158","Sweden","X1998",0.1
"5159","Switzerland","X1998",0.3
"5162","Tajikistan","X1998",0.1
"5163","Tanzania","X1998",7.7
"5164","Thailand","X1998",2
"5166","Togo","X1998",3.4
"5170","Trinidad and Tobago","X1998",1.1
"5171","Tunisia","X1998",0.06
"5172","Turkey","X1998",0.06
"5176","Uganda","X1998",8
"5177","Ukraine","X1998",0.7
"5179","United Kingdom","X1998",0.1
"5180","United States","X1998",0.5
"5181","Uruguay","X1998",0.2
"5183","Uzbekistan","X1998",0.06
"5190","Vietnam","X1998",0.2
"5196","Zambia","X1998",14.7
"5197","Zimbabwe","X1998",26.3
"5200","Cote dIvoire","X1998",7.4
"5205","Algeria","X1999",0.06
"5208","Angola","X1999",1.9
"5211","Argentina","X1999",0.3
"5212","Armenia","X1999",0.1
"5214","Australia","X1999",0.1
"5215","Austria","X1999",0.1
"5216","Azerbaijan","X1999",0.06
"5217","Bahamas","X1999",3.2
"5219","Bangladesh","X1999",0.06
"5220","Barbados","X1999",0.4
"5221","Belarus","X1999",0.1
"5222","Belgium","X1999",0.2
"5223","Belize","X1999",2
"5224","Benin","X1999",1.4
"5226","Bhutan","X1999",0.06
"5227","Bolivia","X1999",0.2
"5229","Botswana","X1999",25.3
"5230","Brazil","X1999",0.4
"5233","Bulgaria","X1999",0.06
"5234","Burkina Faso","X1999",2.5
"5235","Burundi","X1999",5.4
"5236","Cambodia","X1999",1.4
"5237","Cameroon","X1999",5.4
"5238","Canada","X1999",0.2
"5241","Central African Republic","X1999",9.8
"5242","Chad","X1999",2.9
"5244","Chile","X1999",0.2
"5248","Colombia","X1999",0.9
"5249","Comoros","X1999",0.06
"5251","Congo, Rep.","X1999",3.9
"5253","Costa Rica","X1999",0.1
"5254","Croatia","X1999",0.06
"5255","Cuba","X1999",0.06
"5257","Czech Republic","X1999",0.06
"5259","Denmark","X1999",0.1
"5260","Djibouti","X1999",2.9
"5262","Dominican Republic","X1999",1
"5264","Ecuador","X1999",0.5
"5265","Egypt","X1999",0.06
"5266","El Salvador","X1999",0.7
"5267","Equatorial Guinea","X1999",1.2
"5268","Eritrea","X1999",1.2
"5270","Estonia","X1999",0.4
"5274","Fiji","X1999",0.06
"5275","Finland","X1999",0.06
"5276","France","X1999",0.3
"5279","Gabon","X1999",4.9
"5280","Gambia","X1999",0.4
"5281","Georgia","X1999",0.06
"5282","Germany","X1999",0.1
"5283","Ghana","X1999",2.3
"5285","Greece","X1999",0.1
"5290","Guatemala","X1999",0.4
"5292","Guinea","X1999",1.8
"5293","Guinea-Bissau","X1999",1.6
"5294","Guyana","X1999",1.6
"5295","Haiti","X1999",2.9
"5297","Honduras","X1999",1.3
"5299","Hungary","X1999",0.06
"5300","Iceland","X1999",0.2
"5301","India","X1999",0.4
"5302","Indonesia","X1999",0.06
"5303","Iran","X1999",0.1
"5305","Ireland","X1999",0.2
"5307","Israel","X1999",0.1
"5308","Italy","X1999",0.3
"5309","Jamaica","X1999",2
"5310","Japan","X1999",0.06
"5313","Kazakhstan","X1999",0.06
"5314","Kenya","X1999",9.6
"5317","South Korea","X1999",0.06
"5321","Kyrgyz Republic","X1999",0.06
"5322","Lao","X1999",0.06
"5323","Latvia","X1999",0.2
"5324","Lebanon","X1999",0.1
"5325","Lesotho","X1999",24.2
"5326","Liberia","X1999",3.4
"5329","Lithuania","X1999",0.06
"5330","Luxembourg","X1999",0.2
"5333","Madagascar","X1999",0.2
"5334","Malawi","X1999",14.5
"5335","Malaysia","X1999",0.4
"5336","Maldives","X1999",0.06
"5337","Mali","X1999",1.8
"5338","Malta","X1999",0.1
"5341","Mauritania","X1999",0.5
"5342","Mauritius","X1999",0.3
"5344","Mexico","X1999",0.3
"5346","Moldova","X1999",0.4
"5348","Mongolia","X1999",0.06
"5351","Morocco","X1999",0.1
"5352","Mozambique","X1999",7.7
"5353","Myanmar","X1999",0.7
"5354","Namibia","X1999",14.1
"5356","Nepal","X1999",0.5
"5357","Netherlands","X1999",0.2
"5360","New Zealand","X1999",0.1
"5362","Nicaragua","X1999",0.1
"5363","Niger","X1999",1
"5364","Nigeria","X1999",4
"5369","Norway","X1999",0.1
"5370","Oman","X1999",0.06
"5371","Pakistan","X1999",0.06
"5373","Panama","X1999",1.5
"5374","Papua New Guinea","X1999",0.3
"5375","Paraguay","X1999",0.3
"5376","Peru","X1999",0.5
"5377","Philippines","X1999",0.06
"5379","Poland","X1999",0.1
"5380","Portugal","X1999",0.4
"5382","Qatar","X1999",0.06
"5384","Romania","X1999",0.1
"5385","Russia","X1999",0.1
"5386","Rwanda","X1999",4
"5398","Senegal","X1999",0.5
"5399","Serbia","X1999",0.06
"5403","Sierra Leone","X1999",0.8
"5404","Singapore","X1999",0.1
"5405","Slovak Republic","X1999",0.06
"5406","Slovenia","X1999",0.06
"5408","Somalia","X1999",0.2
"5410","South Africa","X1999",14.8
"5412","Spain","X1999",0.4
"5413","Sri Lanka","X1999",0.06
"5414","Sudan","X1999",0.3
"5415","Suriname","X1999",1
"5417","Swaziland","X1999",20.6
"5418","Sweden","X1999",0.1
"5419","Switzerland","X1999",0.3
"5422","Tajikistan","X1999",0.1
"5423","Tanzania","X1999",7.5
"5424","Thailand","X1999",1.9
"5426","Togo","X1999",3.5
"5430","Trinidad and Tobago","X1999",1.1
"5431","Tunisia","X1999",0.06
"5432","Turkey","X1999",0.06
"5436","Uganda","X1999",7.6
"5437","Ukraine","X1999",0.8
"5439","United Kingdom","X1999",0.1
"5440","United States","X1999",0.5
"5441","Uruguay","X1999",0.3
"5443","Uzbekistan","X1999",0.06
"5450","Vietnam","X1999",0.2
"5456","Zambia","X1999",14.6
"5457","Zimbabwe","X1999",25.7
"5460","Cote dIvoire","X1999",7.2
"5465","Algeria","X2000",0.06
"5468","Angola","X2000",1.9
"5471","Argentina","X2000",0.4
"5472","Armenia","X2000",0.1
"5474","Australia","X2000",0.1
"5475","Austria","X2000",0.1
"5476","Azerbaijan","X2000",0.06
"5477","Bahamas","X2000",3.2
"5479","Bangladesh","X2000",0.06
"5480","Barbados","X2000",0.4
"5481","Belarus","X2000",0.1
"5482","Belgium","X2000",0.2
"5483","Belize","X2000",2.2
"5484","Benin","X2000",1.4
"5486","Bhutan","X2000",0.06
"5487","Bolivia","X2000",0.2
"5489","Botswana","X2000",26
"5490","Brazil","X2000",0.4
"5493","Bulgaria","X2000",0.06
"5494","Burkina Faso","X2000",2.3
"5495","Burundi","X2000",5.2
"5496","Cambodia","X2000",1.3
"5497","Cameroon","X2000",5.5
"5498","Canada","X2000",0.2
"5501","Central African Republic","X2000",9.4
"5502","Chad","X2000",3
"5504","Chile","X2000",0.2
"5508","Colombia","X2000",0.9
"5509","Comoros","X2000",0.06
"5511","Congo, Rep.","X2000",3.9
"5513","Costa Rica","X2000",0.1
"5514","Croatia","X2000",0.06
"5515","Cuba","X2000",0.06
"5517","Czech Republic","X2000",0.06
"5519","Denmark","X2000",0.1
"5520","Djibouti","X2000",2.9
"5522","Dominican Republic","X2000",1
"5524","Ecuador","X2000",0.5
"5525","Egypt","X2000",0.06
"5526","El Salvador","X2000",0.7
